AlligatorRivers,ApprouagueRiver,CongoDelta,EssequiboRiver,KikoriRiver,Loango,MacDonaldDoughboy,MissionRiver,Taman,TanaRiver
0.00035308,0.000608672,0.001307591,0.001063944,0.002970874,0.00068692,0.000660915,0.000660915,0.005561416,0.000534937
0.000395442,0.000673142,0.007777069,0.001772886,0.003123425,0.00294374,0.001029313,0.001029313,0.00631136,0.001416334
0.000490464,0.001063944,0.014257562,0.001772886,0.003605516,0.00319,0.001081329,0.001081329,0.007556618,0.001604005
0.000493091,0.001190407,0.020168286,0.00255346,0.003707738,0.00403,0.001209704,0.001116996,0.007977822,0.001794297
0.000543412,0.001223619,0.04185,0.003143681,0.004317424,0.004237699,0.001314835,0.001209704,0.018869214,0.001854641
0.000946501,0.001741686,0.04365,0.003902507,0.005561416,0.005359132,0.001410814,0.001519528,0.02014413,0.002102718
0.001029313,0.001772886,0.0465,0.004072444,0.006196854,0.00563,0.001519528,0.001519528,0.02676,0.00223429
0.001029313,0.00255346,0.06272,0.007407383,0.00631136,0.006133155,0.001754062,0.001754062,0.0278332,0.002512925
0.001116996,0.002970874,0.066518964,0.008409856,0.00814234,0.00643,0.001998957,0.001998957,0.038786112,0.002531845
0.001116996,0.002978925,0.066518964,0.009096142,0.009492126,0.006804897,0.002073583,0.002073583,0.054368145,0.002751079
0.001209704,0.003143681,0.08085,0.010577532,0.010298944,0.00817,0.002151014,0.002151014,0.06380393,0.003252429
0.001209704,0.003486295,0.08984,0.014257562,0.013731174,0.008503013,0.002296012,0.002296012,0.071910173,0.00351025
0.001267805,0.003902507,0.103357494,0.03628,0.018428542,0.011795142,0.002512925,0.003123425,0.075473434,0.00387625
0.001307591,0.003902507,0.11096,0.043458423,0.018472624,0.014257562,0.002970874,0.003123425,0.076025654,0.005034531
0.001337886,0.004072444,0.117696449,0.050534882,0.0208404,0.01449,0.003123425,0.003478821,0.081883443,0.005062026
0.001519528,0.004173457,0.12046,0.051044746,0.041232212,0.01649,0.003123425,0.003659633,0.089706049,0.005191715
0.001543796,0.005501452,0.12775,0.069503648,0.047772833,0.016553353,0.003123425,0.003664003,0.11156758,0.007
0.001587458,0.005518035,0.13813151,0.071267129,0.0601,0.01659,0.003659633,0.004136665,0.11439,0.007123824
0.001754062,0.006109509,0.14065,0.10228,0.076787214,0.0172,0.004237699,0.004237699,0.122324396,0.007777069
0.0018802,0.00759,0.14099,0.110047119,0.092820147,0.01899,0.004970238,0.00436345,0.129319563,0.009212391
0.001906157,0.007961218,0.157275695,0.139159931,0.117178024,0.02213,0.00631136,0.004501457,0.16805,0.01028
0.001998957,0.008409856,0.33288,0.17734,0.12076,0.026897855,0.006804897,0.004970238,0.178446657,0.012725202
0.002073583,0.012113573,0.448926964,0.18538581,0.132425943,0.03259,0.006975775,0.00631136,0.186226373,0.014257562
0.002296012,0.012642479,0.63043,0.204843879,0.156302009,0.032865918,0.007407383,0.006495966,0.20949,0.01426785
0.00233237,0.014019848,0.717116027,0.24647,0.188166198,0.033415845,0.007792369,0.007792369,0.4,0.016076639
0.002771321,0.014257562,1.26752,0.2488,0.215059013,0.0371,0.00856,0.00856,0.467038299,0.017864384
0.00281278,0.015,1.95,0.267795725,0.222063538,0.044589087,0.010298944,0.010298944,0.521359018,0.0185
0.00294374,0.015434998,2.87565,0.298608391,0.228192923,0.05003,0.010298944,0.010324185,0.601712287,0.01895752
0.00294374,0.01587,3.122264779,0.330952124,0.252348077,0.05446,0.010324185,0.011041534,0.655616308,0.020168286
0.003032664,0.015956223,3.737454214,0.33985,0.252348077,0.0576,0.010482798,0.01188429,0.764702371,0.020169022
0.003123425,0.01651293,3.75085,0.340121195,0.252348077,0.077588017,0.010658364,0.012,1.082321643,0.030279578
0.003123425,0.018800933,4.89605,0.39866,0.327937141,0.08792,0.011041534,0.012426268,1.109385155,0.031944073
0.0031418,0.019,12.07558,0.418506407,0.333417396,0.09564,0.012,0.013677565,1.777065031,0.032331836
0.003310542,0.019837,14.93602,0.4698665,0.480839348,0.099278523,0.01384,0.01384,2.251879281,0.034764409
0.003478821,0.021740432,19.70010337,0.54056,0.567192111,0.1,0.015319658,0.015319658,2.78097,0.036268171
0.003659633,0.022261116,43.25039,0.74947,0.669655841,0.110974288,0.018241877,0.016,2.82668,0.037076317
0.003846329,0.024191383,52.39999,0.828281715,0.681263559,0.111672586,0.018606407,0.0175,3.454073295,0.038786112
0.003918151,0.025255705,69.06379,0.918737436,0.82516,0.117696449,0.0208404,0.018606407,4.56932,0.04185
0.004501457,0.028434799,111.95371,1.016949696,0.867783098,0.137543685,0.021527817,0.022757955,5.90981,0.042403717
0.004854289,0.031944073,190.0987484,1.13475,1.338379266,0.13813151,0.021527817,0.022850567,6.9,0.044589087
0.00490875,0.03315,204.39348,1.245615257,1.338379266,0.149312452,0.021822883,0.025201143,7.17681,0.052
0.00627,0.03491,264.17396,1.66719,1.338379266,0.157275695,0.022757955,0.027807273,12.26565,0.05278
0.00631136,0.035751972,592.66598,1.803445436,4.352006737,0.200383985,0.025201143,0.027807273,23.3,0.05381
0.007122849,0.03628,1536.3104,1.9,10.12338067,0.202394012,0.026420518,0.027807273,42.12901091,0.053943712
0.007792369,0.04074,,2.75838,10.43511191,0.228192923,0.027807273,0.03524,53.40829,0.054956817
0.007960721,0.043458423,,2.78764,160.2577315,0.24318,0.03524,0.035657357,135.80595,0.05587
0.008503013,0.044786767,,2.96727,1150.299704,0.24836,0.035657357,0.039573781,246.6039337,0.058666951
0.00856,0.047,,3.00999,,0.25152187,0.039573781,0.047579601,400.2034981,0.06380393
0.010324185,0.047551752,,4.13499,,0.252927059,0.062501232,0.062501232,806.1006979,0.06380393
0.010658364,0.048,,4.434010457,,0.275434973,0.07,0.07,1150.299704,0.066518964
0.011041534,0.050534882,,4.8,,0.33288,0.0712,0.07129,,0.080015473
0.011342399,0.051044746,,5.74166,,0.38659892,0.07129,0.073792132,,0.089706049
0.01172985,0.05222,,6.32454,,0.433872056,0.078310934,0.078310934,,0.0958
0.012,0.057,,6.39831,,0.471795117,0.084856742,0.105092827,,0.09599
0.012,0.0605,,7.499035767,,0.52096,0.10694266,0.10694266,,0.103357494
0.013016082,0.062492741,,16.63317,,0.521359018,0.10694266,0.10694266,,0.105678505
0.013731174,0.06649,,19.99888542,,0.523194433,0.117178024,0.10694266,,0.117219537
0.014301787,0.069503648,,48.14491,,0.66584,0.12076,0.12076,,0.123
0.0175,0.071267129,,73.38140621,,0.717116027,0.123642655,0.123642655,,0.12707
0.018241877,0.0734,,,,0.885966756,0.215059013,0.147481518,,0.132678218
0.020422081,0.0734,,,,1.28,0.221120956,0.15651283,,0.13813151
0.02223073,0.07884,,,,2.756084826,0.228192923,0.168245748,,0.143639842
0.02223073,0.085499859,,,,2.756084826,0.236290414,0.184497846,,0.14735
0.022750749,0.089,,,,2.882989031,0.252348077,0.185511054,,0.170867252
0.022757955,0.098836648,,,,3.44488,0.252348077,0.215059013,,0.186226373
0.02305,0.098836648,,,,5.25691,0.252348077,0.228192923,,0.19196
0.02356,0.101194927,,,,7.29307,0.252348077,0.236290414,,0.2152
0.024094781,0.10228,,,,7.41871,0.283791903,0.252348077,,0.225646331
0.024168143,0.1057687,,,,9.05532,0.297492816,0.252348077,,0.25
0.025114427,0.107406796,,,,10.95580708,0.327937141,0.252348077,,0.251402907
0.025201143,0.110047119,,,,23.74741572,0.358109679,0.252348077,,0.28183
0.026420518,0.112690354,,,,29.39785892,0.391371556,0.283791903,,0.286864233
0.027329601,0.120207737,,,,45,0.41341,0.297492816,,0.315089693
0.028818181,0.120207737,,,,50.51750033,0.415337939,0.300695682,,0.33288
0.03217,0.13352018,,,,52.39999,0.47092,0.312569834,,0.388353469
0.03234,0.139159931,,,,70.00031,0.549540874,0.317418469,,0.471795117
0.03524,0.141817515,,,,75.55425,0.62617,0.358109679,,0.48463
0.03873,0.147154249,,,,112.58899,0.64442,0.391371556,,0.717116027
0.038885955,0.168655303,,,,190.0987484,0.669655841,0.391371556,,0.789084908
0.039573781,0.168845588,,,,591.3955721,0.681263559,0.391371556,,0.81117
0.039839508,0.174271172,,,,592.66598,0.782198174,0.415337939,,0.965457752
0.04042,0.175,,,,1536.3104,0.82476,0.42223659,,1.72213
0.044250933,0.176460849,,,,4750.00001,0.842333075,0.47092,,1.95
0.0452,0.17734,,,,,0.867783098,0.474527787,,2.290032263
0.047579601,0.178224527,,,,,0.89522,0.544139158,,2.405106273
0.053019248,0.179554264,,,,,0.911477144,0.549540874,,2.45366
0.055871925,0.1796008,,,,,1.05148,0.567192111,,3.122264779
0.059848462,0.180889992,,,,,1.338379266,0.574915115,,3.42447
0.07038,0.18538581,,,,,1.338379266,0.62617,,3.60016
0.07129,0.186226373,,,,,1.50577,0.64442,,3.69599
0.073792132,0.201100259,,,,,1.603692998,0.669655841,,4.8334
0.073792132,0.203084099,,,,,1.694475996,0.681263559,,5.04129
0.075280967,0.204843879,,,,,1.79921,0.71649,,5.63901
0.07953,0.218752403,,,,,2.130027625,0.782198174,,7.07766
0.084856742,0.228192923,,,,,2.130027625,0.818297416,,8.03075
0.09021863,0.24647,,,,,2.68539,0.842333075,,9.24995
0.09399,0.251140895,,,,,2.880539228,0.867783098,,11.66153
0.09502,0.26395,,,,,3.015814667,0.911477144,,11.96438
0.10694266,0.267795725,,,,,3.495326036,1.338379266,,11.99996
0.10694266,0.267795725,,,,,4.352006737,1.338379266,,12.72451
0.12076,0.298608391,,,,,4.49997,1.338379266,,14.00708
0.123642655,0.31403,,,,,4.51147,1.50577,,14.98546505
0.14648,0.330952124,,,,,4.665504805,1.59057,,15.63915
0.163493069,0.33985,,,,,4.954618261,1.603692998,,15.82215
0.17502,0.340121195,,,,,5.356414043,1.694475996,,17.72856
0.19265,0.341663693,,,,,6.067444033,2.68539,,21.99999
0.228192923,0.350929995,,,,,6.242188842,2.82101,,23.74741572
0.229100749,0.353744275,,,,,6.939880416,2.880539228,,38.80437
0.252348077,0.36377,,,,,9.571160808,3.495326036,,50.51750033
0.283791903,0.384761122,,,,,10.12338067,4.352006737,,50.57792
0.285980175,0.38967372,,,,,11.81575,4.49997,,52.39999
0.285980175,0.39866,,,,,14.99995,4.51147,,52.59169
0.297492816,0.418506407,,,,,21.71016364,4.665504805,,54.83919108
0.300695682,0.42581,,,,,25.97892,4.75,,55.46446
0.312569834,0.4698665,,,,,39.23452969,5.356414043,,63.36998
0.358109679,0.47159309,,,,,1150.299704,6.242188842,,75.60752
0.391371556,0.496790885,,,,,,6.939880416,,79.13217
0.391371556,0.51584565,,,,,,9.571160808,,82.49999
0.436941326,0.54056,,,,,,10.12338067,,94.32039
0.47092,0.555454227,,,,,,11.81575,,136.00033
0.544139158,0.557489413,,,,,,21.71016364,,158.62393
0.549540874,0.60999,,,,,,25.97892,,160.93786
0.62617,0.72894123,,,,,,27.2501,,200.57652
0.681263559,0.74947,,,,,,39.23452969,,204.39348
0.71649,0.828281715,,,,,,52.13984232,,400
0.782198174,0.871589896,,,,,,1150.299704,,408.00035
0.818297416,0.918737436,,,,,,,,562.59269
0.842333075,0.95487,,,,,,,,591.3955721
0.867783098,0.97433,,,,,,,,592.66598
0.911477144,1.03047,,,,,,,,964.65473
1.276695386,1.106665658,,,,,,,,1536.3104
1.338379266,1.13475,,,,,,,,3824.53993
1.3982,1.245615257,,,,,,,,
1.50577,1.340517994,,,,,,,,
1.59057,1.365424355,,,,,,,,
1.603692998,1.532030329,,,,,,,,
1.694475996,1.631829906,,,,,,,,
1.87703,1.66719,,,,,,,,
2.130027625,1.722565965,,,,,,,,
2.55031612,1.803445436,,,,,,,,
2.68539,1.9,,,,,,,,
2.880539228,2.188578452,,,,,,,,
3.015814667,2.363384631,,,,,,,,
3.015814667,2.428456575,,,,,,,,
3.424313555,2.44181,,,,,,,,
3.495326036,2.75838,,,,,,,,
4.01201,2.78764,,,,,,,,
4.49997,3.00999,,,,,,,,
4.56788,3.030065726,,,,,,,,
4.665504805,3.214803215,,,,,,,,
4.954618261,3.27081,,,,,,,,
5.356414043,3.457768049,,,,,,,,
6.067444033,3.7755,,,,,,,,
6.067444033,3.8,,,,,,,,
6.242188842,3.8,,,,,,,,
6.49473,3.922317946,,,,,,,,
6.939880416,3.94901,,,,,,,,
9.571160808,4.1162,,,,,,,,
10.12338067,4.13499,,,,,,,,
11.81575,4.3758,,,,,,,,
17,4.434010457,,,,,,,,
21.71016364,4.57045225,,,,,,,,
21.71016364,4.8,,,,,,,,
25.97892,6.32454,,,,,,,,
26.30015718,6.39831,,,,,,,,
27.2501,6.55497,,,,,,,,
52.13984232,6.584406955,,,,,,,,
1150.299704,6.6465,,,,,,,,
,6.875,,,,,,,,
,6.93172,,,,,,,,
,8.17255,,,,,,,,
,8.220684806,,,,,,,,
,8.69725,,,,,,,,
,9.70283,,,,,,,,
,11.88,,,,,,,,
,12.02237757,,,,,,,,
,16.63317,,,,,,,,
,19.99888542,,,,,,,,
,20.54686,,,,,,,,
,21.13369,,,,,,,,
,21.66907022,,,,,,,,
,26,,,,,,,,
,29.53183,,,,,,,,
,31.79871,,,,,,,,
,35.28376647,,,,,,,,
,40.64189,,,,,,,,
,46.22003451,,,,,,,,
,48.14491,,,,,,,,
,53.95405,,,,,,,,
,73.38140621,,,,,,,,
,75.90125,,,,,,,,
,78.31590231,,,,,,,,
,83.94309,,,,,,,,
,169.49664,,,,,,,,
,345.1437393,,,,,,,,
,883.39781,,,,,,,,
