Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,MurgenellaCreek,AlligatorRivers,KamparRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,CuanzaRiver,MungoRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,EssequiboRiver
1150.299704,1150.299704,1150.299704,1150.299704,1150.299704,1150.299704,1150.299704,42.12901091,4.352006737,591.3955721,14.98546505,9.995929559,591.3955721,591.3955721,29.39785892,46.22003451,883.39781,73.38140621,73.38140621,19.99888542
9.571160808,9.571160808,4.352006737,9.571160808,1.603692998,0.358109679,9.571160808,4.000602196,1.152032455,14.98546505,9.995929559,0.386880972,190.0987484,0.176788057,23.74741572,4.434010457,73.38140621,46.22003451,46.22003451,4.434010457
6.939880416,6.939880416,0.911477144,6.939880416,1.603692998,0.011041534,6.939880416,0.113879497,0.5735286,0.13813151,0.176788057,0.164261068,29.39785892,0.157275695,0.143639842,2.428456575,46.22003451,8.220684806,19.99888542,0.298608391
4.352006737,4.352006737,0.358109679,4.352006737,0.544139158,0.010658364,3.495326036,0.105936994,0.222063538,0.080015473,0.13813151,0.157275695,23.74741572,0.068493687,0.117696449,0.298608391,19.99888542,4.434010457,8.220684806,0.050534882
3.495326036,3.495326036,0.236290414,1.603692998,0.286864233,0.010324185,1.603692998,0.06380393,0.117178024,0.06380393,0.103357494,0.081454778,0.157275695,0.014699308,0.099278523,0.168845588,8.220684806,0.298608391,4.434010457,0.043458423
1.603692998,1.603692998,0.123642655,0.911477144,0.123642655,0.007792369,0.911477144,0.012578171,0.060609805,0.06380393,0.06380393,0.06380393,0.13813151,0.014257562,0.081290829,0.101194927,4.434010457,0.168845588,0.298608391,0.010577532
0.911477144,0.911477144,0.035657357,0.358109679,0.035657357,0.00631136,0.818297416,0.012116006,0.048296756,0.034764409,0.034764409,0.038786112,0.117696449,0.009603511,0.044928745,0.051044746,2.428456575,0.141817515,0.168845588,0.009096142
0.358109679,0.818297416,0.025201143,0.236290414,0.025201143,0.00490875,0.544139158,0.007341543,0.046415401,0.030279578,0.031944073,0.031944073,0.016553353,0.007792369,0.039304687,0.050534882,1.106665658,0.101194927,0.101194927,0.008409856
0.286864233,0.42223659,0.022757955,0.117178024,0.018606407,0.00233237,0.358109679,0.00670928,0.034764409,0.020168286,0.014257562,0.026977394,0.014257562,0.005095128,0.020168286,0.031944073,0.298608391,0.062492741,0.051044746,0.007407383
0.123642655,0.358109679,0.018606407,0.035657357,0.015319658,0.001998957,0.123642655,0.00631136,0.034764409,0.016076639,0.012737779,0.010569006,0.011795142,0.004136665,0.017392817,0.028434799,0.168845588,0.051044746,0.050534882,0.003902507
0.035657357,0.236290414,0.015319658,0.025201143,0.014844094,0.001587458,0.084856742,0.006196854,0.022757955,0.014257562,0.012175798,0.006410727,0.005359132,0.002340511,0.016553353,0.025255705,0.141817515,0.050534882,0.043458423,0.003143681
0.025201143,0.123642655,0.014844094,0.022757955,0.011041534,0.001519528,0.044250933,0.005561416,0.021822883,0.009212391,0.00631136,0.006163644,0.004237699,0.002077012,0.014257562,0.014257562,0.101194927,0.044786767,0.025255705,0.00255346
0.022757955,0.035657357,0.011041534,0.021822883,0.010298944,0.001209704,0.027329601,,0.021527817,0.005191715,0.005062026,0.004441028,,0.001307591,0.011795142,0.008409856,0.051044746,0.035751972,0.014257562,0.001772886
0.019448548,0.025201143,0.010324185,0.021527817,0.008503013,0.001209704,0.011342399,,0.018428542,0.005062026,0.004442534,0.003759386,,,0.008503013,0.003902507,0.050534882,0.031944073,0.012642479,0.001772886
0.018606407,0.022757955,0.010298944,0.021527817,0.007792369,,0.011041534,,0.010473156,0.002751079,0.001958812,0.00351025,,,0.006804897,0.001741686,0.044786767,0.028434799,0.009800651,
0.015319658,0.018606407,0.004970238,0.018606407,0.004970238,,0.010658364,,0.010298944,0.002512925,0.001854641,0.001958812,,,0.006133155,0.001190407,0.035751972,0.021740432,0.008409856,
0.014844094,0.015319658,0.004237699,0.015319658,0.002296012,,0.010324185,,0.010056292,0.00223429,0.001416334,0.001795698,,,0.005094604,0.000608672,0.031944073,0.014257562,0.00631136,
0.011041534,0.014844094,0.003123425,0.011041534,0.001754062,,0.008503013,,0.009492126,0.001854641,,0.000920865,,,0.004981954,,0.028434799,0.012642479,0.003902507,
0.010324185,0.011041534,0.003123425,0.010324185,0.001209704,,0.007792369,,0.008503013,0.001794297,,,,,0.003795511,,0.021740432,0.010698036,0.003902507,
0.010298944,0.010324185,0.002970874,0.010298944,,,0.00490875,,0.00814234,0.001416334,,,,,,,0.015956223,0.008409856,0.00255346,
0.008503013,0.010298944,0.001754062,0.007792369,,,0.003918151,,0.006804897,,,,,,,,0.014257562,0.006430428,0.001909447,
0.007792369,0.007792369,0.001314835,0.004970238,,,0.003659633,,0.006375152,,,,,,,,0.012642479,0.006109509,0.001772886,
0.007407383,0.006495966,0.001209704,0.004237699,,,0.003478821,,0.00631136,,,,,,,,0.008409856,0.003902507,0.001741686,
0.004970238,0.00631136,,0.003659633,,,0.003123425,,0.005561416,,,,,,,,0.005501452,0.003902507,,
0.004237699,0.004970238,,0.003123425,,,0.002771321,,0.005356699,,,,,,,,0.004072444,0.003486295,,
0.003659633,0.004501457,,0.003123425,,,0.002296012,,0.005324747,,,,,,,,0.003902507,0.003143681,,
0.003123425,0.00436345,,0.003123425,,,0.001998957,,0.004967711,,,,,,,,0.003486295,0.002978925,,
0.003123425,0.004237699,,0.002970874,,,0.0018802,,0.004653577,,,,,,,,0.003143681,0.002970874,,
0.001754062,0.004136665,,0.002512925,,,0.001754062,,0.004479997,,,,,,,,0.002978925,0.00255346,,
0.001519528,0.003659633,,0.001754062,,,0.001587458,,0.004317424,,,,,,,,0.00255346,0.001190407,,
0.001519528,0.003478821,,0.001209704,,,0.001519528,,0.003918151,,,,,,,,,0.000608672,,
0.001209704,0.003123425,,0.001081329,,,0.001209704,,0.003707738,,,,,,,,,,,
0.001081329,0.001998957,,0.000660915,,,0.001209704,,0.003123425,,,,,,,,,,,
0.00071909,0.001754062,,,,,0.001116996,,0.002970874,,,,,,,,,,,
,0.001519528,,,,,0.001116996,,0.00294374,,,,,,,,,,,
,0.001519528,,,,,0.000946501,,0.001432112,,,,,,,,,,,
,0.001209704,,,,,0.000395442,,0.001209704,,,,,,,,,,,
,0.001081329,,,,,0.00035308,,0.001209704,,,,,,,,,,,
,,,,,,,,0.00071909,,,,,,,,,,,
