Mapoon,MissionRiver,EscapeRiver,AlligatorRivers,Porai,TanaRiver,MungoRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver
1150.299704,1150.299704,1150.299704,1150.299704,160.2577315,3824.53993,45,883.39781,345.1437393,345.1437393
39.23452969,39.23452969,39.23452969,26.30015718,5.852720963,1536.3104,43.25039,169.49664,169.49664,169.49664
27.2501,27.2501,14.99995,21.71016364,4.665504805,964.65473,29.39785892,83.94309,83.94309,83.94309
11.81575,21.71016364,11.81575,21.71016364,4.352006737,592.66598,23.74741572,75.90125,78.31590231,75.90125
10.12338067,11.81575,9.571160808,17,3.454073295,591.3955721,14.2533,73.38140621,75.90125,73.38140621
9.571160808,10.12338067,6.939880416,11.81575,1.169334739,562.59269,12.07558,53.95405,73.38140621,53.95405
6.939880416,9.571160808,6.242188842,10.12338067,1.152032455,400,7.29307,53.95405,53.95405,48.14491
6.242188842,6.939880416,6.067444033,9.571160808,0.867783098,204.39348,5.25691,48.14491,48.14491,46.22003451
6.067444033,6.242188842,4.51147,6.939880416,0.681263559,158.62393,5.13257,48.14491,46.22003451,31.79871
4.75,6.067444033,4.352006737,6.067444033,0.62617,136.00033,5.13257,46.22003451,35.28376647,26
4.49997,5.356414043,4.06046,4.49997,0.5735286,94.32039,3.98017,40.64189,32.22328853,21.13369
4.352006737,4.665504805,3.015814667,3.495326036,0.480839348,82.49999,3.69599,35.28376647,31.79871,20.54686
4.06046,4.352006737,1.603692998,2.880539228,0.43747851,79.13217,3.57827,31.79871,29.53183,19.99888542
3.495326036,3.495326036,1.50577,2.68539,0.41341,75.60752,3.25498,29.53183,26,16.63317
2.880539228,2.880539228,1.05148,1.603692998,0.333417396,63.36998,3.00208,26,21.66907022,11.88
2.68539,2.68539,0.911477144,1.50577,0.283791903,55.46446,2.87565,21.66907022,21.13369,8.220684806
1.603692998,1.603692998,0.867783098,0.911477144,0.252348077,52.59169,2.756084826,21.13369,20.54686,8.17255
1.50577,1.59057,0.82476,0.867783098,0.252348077,52.39999,2.209811987,21.13369,16.63317,6.93172
1.338379266,1.50577,0.681263559,0.842333075,0.228192923,50.57792,1.53931,20.54686,11.88,6.875
1.338379266,1.338379266,0.64442,0.818297416,0.222063538,38.80437,1.402186557,19.99888542,8.69725,6.6465
0.911477144,1.338379266,0.62617,0.782198174,0.215059013,21.99999,1.28,16.63317,8.220684806,6.55497
0.867783098,1.338379266,0.47092,0.681263559,0.188166198,15.82215,1.08181,16.63317,6.93172,6.39831
0.782198174,0.911477144,0.415337939,0.62617,0.179156303,14.98546505,1.08181,13.58501871,6.875,6.32454
0.681263559,0.867783098,0.41341,0.544139158,0.163493069,11.99996,0.558919186,11.88,6.875,4.8
0.64442,0.842333075,0.391371556,0.47092,0.132678218,9.24995,0.54383,11.1551513,6.55497,4.434010457
0.62617,0.818297416,0.358109679,0.391371556,0.12076,5.63901,0.523194433,9.70283,6.39831,4.3758
0.567192111,0.782198174,0.283791903,0.391371556,0.117178024,5.04129,0.38659892,8.69725,6.32454,4.13499
0.549540874,0.681263559,0.252348077,0.358109679,0.092820147,4.8334,0.33288,8.220684806,5.74166,4.1162
0.47092,0.669655841,0.236290414,0.283791903,0.060609805,3.69599,0.27737,8.17255,4.8,3.922317946
0.391371556,0.669655841,0.228192923,0.228192923,0.058806142,3.60016,0.25,8.17255,4.57045225,3.7755
0.358109679,0.64442,0.221120956,0.19265,0.05063,3.122264779,0.195338046,6.93172,4.434010457,3.27081
0.286864233,0.62617,0.215059013,0.19265,0.048296756,2.405106273,0.18460153,6.875,4.3758,2.75838
0.283791903,0.567192111,0.20089,0.16929,0.046415401,2.290032263,0.167152092,6.6465,4.13499,2.44181
0.283791903,0.549540874,0.16929,0.14648,0.04546,1.95,0.143639842,6.584406955,3.922317946,2.363384631
0.252348077,0.474527787,0.1575,0.123642655,0.034764409,1.72213,0.14099,6.55497,3.7755,2.188578452
0.252348077,0.474527787,0.12076,0.12076,0.034764409,0.965457752,0.12775,6.39831,3.457768049,1.803445436
0.23,0.42223659,0.117178024,0.084856742,0.032042473,0.81117,0.117696449,6.32454,3.27081,1.722565965
0.228192923,0.415337939,0.07129,0.07129,0.022757955,0.789084908,0.11445,4.8,3.030065726,1.66719
0.215059013,0.415337939,0.0712,0.059848462,0.021822883,0.717116027,0.11166527,4.57045225,3.00999,1.245615257
0.20089,0.391371556,0.07,0.047579601,0.021527817,0.471795117,0.109730499,4.434010457,2.882989031,1.13475
0.16929,0.391371556,0.035657357,0.0452,0.018428542,0.388353469,0.10931,4.3758,2.78764,1.117002973
0.1575,0.358109679,0.03524,0.044250933,0.01444,0.315089693,0.105678505,4.13499,2.75838,1
0.123642655,0.327937141,0.025201143,0.039573781,0.010473156,0.28183,0.1,4.1162,2.75838,0.918737436
0.12076,0.317418469,0.022757955,0.03873,0.010298944,0.251402907,0.099278523,3.94901,2.44181,0.9124
0.10694266,0.312569834,0.021822883,0.03234,0.010056292,0.186226373,0.08984,3.922317946,2.363384631,0.828281715
0.09021863,0.300695682,0.021527817,0.027329601,0.009492126,0.170867252,0.081290829,3.7755,2.188578452,0.74947
0.07129,0.297492816,0.021527817,0.02356,0.008503013,0.13813151,0.07095,3.27081,1.9,0.72894123
0.07,0.283791903,0.018606407,0.013016082,0.00814234,0.132678218,0.06272,3.214803215,1.803445436,0.557489413
0.047579601,0.252348077,0.015319658,0.012,0.006804897,0.12707,0.06272,3.030065726,1.722565965,0.54056
0.047579601,0.252348077,0.01384,0.011342399,0.006375152,0.123,0.05446,3.00999,1.66719,0.4698665
0.035657357,0.252348077,0.011041534,0.011041534,0.00631136,0.105678505,0.044928745,3.00999,1.631829906,0.42581
0.03524,0.252348077,0.010324185,0.010658364,0.005561416,0.09599,0.04173,2.78764,1.532030329,0.384761122
0.027807273,0.236290414,0.010298944,0.010324185,0.005356699,0.0958,0.039304687,2.75838,1.387498697,0.341663693
0.027807273,0.228192923,0.007792369,0.00856,0.005324747,0.089706049,0.03442,2.44181,1.365424355,0.330952124
0.025201143,0.185511054,0.006975775,0.008503013,0.004967711,0.080015473,0.03122,2.428456575,1.340517994,0.31403
0.022757955,0.184497846,0.004970238,0.007792369,0.004653577,0.066518964,0.02213,2.363384631,1.13475,0.298608391
0.019448548,0.168245748,0.004237699,0.00490875,0.004479997,0.06380393,0.020168286,1.9,1.117002973,0.251140895
0.018606407,0.1575,0.003659633,0.003918151,0.004317424,0.06380393,0.017392817,1.803445436,1.082321643,0.200224519
0.0175,0.15651283,0.003123425,0.003659633,0.003918151,0.058666951,0.01705,1.722565965,1.03047,0.18538581
0.016,0.147481518,0.003123425,0.003478821,0.003707738,0.05587,0.016553353,1.66719,1,0.180889992
0.015319658,0.14268,0.003123425,0.003123425,0.003123425,0.05381,0.014257562,1.532030329,0.95487,0.179554264
0.014844094,0.123642655,0.002970874,0.002771321,0.002970874,0.042403717,0.011795142,1.387498697,0.918737436,0.176460849
0.012,0.12076,0.002512925,0.002296012,0.00294374,0.04185,0.01118,1.245615257,0.871589896,0.168845588
0.011041534,0.10694266,0.002073583,0.001998957,0.001432112,0.037076317,0.0102,1.13475,0.828281715,0.168655303
0.010324185,0.10694266,0.001754062,0.0018802,0.001209704,0.036268171,0.008503013,1.106665658,0.74947,0.147154249
0.010298944,0.10694266,0.001209704,0.001754062,0.001209704,0.034764409,0.008,1.03047,0.72894123,0.13352018
0.00856,0.105092827,0.001081329,0.001587458,0.00071909,0.030279578,0.006804897,1.03047,0.557489413,0.120207737
0.008503013,0.078310934,0.000660915,0.001519528,,0.020169022,0.006133155,1,0.555454227,0.112690354
0.007792369,0.073792132,,0.001209704,,0.020168286,0.005094604,0.95487,0.54056,0.107406796
0.007407383,0.07129,,0.001209704,,0.01895752,0.004981954,0.871589896,0.51584565,0.101194927
0.004970238,0.047579601,,0.001116996,,0.0185,0.003795511,0.828281715,0.496790885,0.089
0.004237699,0.035657357,,0.001116996,,0.016076639,,0.74947,0.4698665,0.077785303
0.003659633,0.03524,,0.000946501,,0.014257562,,0.72894123,0.42581,0.05222
0.003123425,0.027807273,,0.000493091,,0.009212391,,0.681263559,0.418506407,0.051044746
0.003123425,0.027807273,,0.000395442,,0.007,,0.557489413,0.39866,0.050534882
0.001754062,0.025201143,,0.00035308,,0.005191715,,0.555454227,0.38967372,0.043458423
0.001519528,0.022757955,,,,0.005062026,,0.54056,0.384761122,0.04074
0.001519528,0.018606407,,,,0.002751079,,0.51584565,0.36377,0.03491
0.001209704,0.015319658,,,,0.002512925,,0.4698665,0.353744275,0.025255705
0.001081329,0.014844094,,,,0.00223429,,0.42581,0.350929995,0.024191383
0.00071909,0.013677565,,,,0.001854641,,0.418506407,0.341663693,0.02
,0.012,,,,0.001794297,,0.384761122,0.340121195,0.019837
,0.011041534,,,,0.001604005,,0.353744275,0.330952124,0.014257562
,0.010324185,,,,0.001416334,,0.341663693,0.31403,0.012642479
,0.010298944,,,,,,0.340121195,0.298608391,0.012113573
,0.00856,,,,,,0.33985,0.277521674,0.009800651
,0.007792369,,,,,,0.330952124,0.267795725,0.008409856
,0.006495966,,,,,,0.31403,0.251140895,0.00631136
,0.00631136,,,,,,0.298608391,0.2488,0.003902507
,0.004970238,,,,,,0.267795725,0.24647,0.003902507
,0.004501457,,,,,,0.24647,0.228192923,0.00255346
,0.00436345,,,,,,0.228192923,0.218752403,0.001909447
,0.004237699,,,,,,0.204843879,0.203084099,0.001772886
,0.004136665,,,,,,0.203084099,0.200224519,0.001741686
,0.003664003,,,,,,0.18538581,0.18538581,
,0.003659633,,,,,,0.1796008,0.180889992,
,0.003478821,,,,,,0.179554264,0.1796008,
,0.003123425,,,,,,0.178224527,0.179554264,
,0.002073583,,,,,,0.17734,0.178224527,
,0.001998957,,,,,,0.176460849,0.17734,
,0.001754062,,,,,,0.168845588,0.176460849,
,0.001519528,,,,,,0.147154249,0.168845588,
,0.001519528,,,,,,0.141817515,0.168655303,
,0.001209704,,,,,,0.120207737,0.147154249,
,0.001081329,,,,,,0.120207737,0.141817515,
,,,,,,,0.112690354,0.139159931,
,,,,,,,0.107406796,0.13352018,
,,,,,,,0.101194927,0.12042,
,,,,,,,0.098836648,0.120207737,
,,,,,,,0.098836648,0.112690354,
,,,,,,,0.071267129,0.110047119,
,,,,,,,0.069503648,0.107406796,
,,,,,,,0.051044746,0.1057687,
,,,,,,,0.050534882,0.10228,
,,,,,,,0.044786767,0.101194927,
,,,,,,,0.04074,0.098836648,
,,,,,,,0.035751972,0.098836648,
,,,,,,,0.03491,0.089,
,,,,,,,0.031944073,0.085499859,
,,,,,,,0.028434799,0.077785303,
,,,,,,,0.022261116,0.0734,
,,,,,,,0.021740432,0.071267129,
,,,,,,,0.019837,0.069503648,
,,,,,,,0.01651293,0.062492741,
,,,,,,,0.015956223,0.057,
,,,,,,,0.014257562,0.05222,
,,,,,,,0.012642479,0.051044746,
,,,,,,,0.012113573,0.050534882,
,,,,,,,0.008409856,0.048,
,,,,,,,0.005501452,0.047551752,
,,,,,,,0.004072444,0.044786767,
,,,,,,,0.003902507,0.04074,
,,,,,,,0.003486295,0.03628,
,,,,,,,0.003143681,0.035751972,
,,,,,,,0.002978925,0.03491,
,,,,,,,0.00255346,0.03315,
,,,,,,,,0.031944073,
,,,,,,,,0.029822698,
,,,,,,,,0.028434799,
,,,,,,,,0.021740432,
,,,,,,,,0.019837,
,,,,,,,,0.018800933,
,,,,,,,,0.01651293,
,,,,,,,,0.015434998,
,,,,,,,,0.015,
,,,,,,,,0.014257562,
,,,,,,,,0.012642479,
,,,,,,,,0.010698036,
,,,,,,,,0.008409856,
,,,,,,,,0.007961218,
,,,,,,,,0.00759,
,,,,,,,,0.006430428,
,,,,,,,,0.006109509,
,,,,,,,,0.003902507,
,,,,,,,,0.003902507,
,,,,,,,,0.003486295,
,,,,,,,,0.003143681,
,,,,,,,,0.002978925,
,,,,,,,,0.002970874,
,,,,,,,,0.00255346,
,,,,,,,,0.001190407,
,,,,,,,,0.000608672,
